,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,100,PF,1571600951,73,-23.12,-134.97,20.89,6.64
1,Maragogi,78,BR,1571600951,83,-9.01,-35.22,22.97,2.17
2,Bluff,3,AU,1571600951,73,-23.58,149.07,20.0,7.28
3,Busselton,0,AU,1571600952,69,-33.64,115.35,12.78,3.59
4,Yuanping,0,CN,1571600952,30,38.72,112.71,3.33,1.51
5,Punta Arenas,20,CL,1571600952,35,-53.16,-70.91,13.0,8.2
6,Pochutla,40,MX,1571600952,66,15.74,-96.47,31.67,5.1
7,Rocha,100,UY,1571600953,83,-34.48,-54.34,13.37,2.78
8,Saint-Philippe,75,CA,1571600953,62,45.36,-73.48,13.33,2.6
9,Barrow,99,AR,1571600954,63,-38.31,-60.23,18.29,3.64
10,Chokurdakh,100,RU,1571600954,95,70.62,147.9,-15.24,2.31
11,Butaritari,1,KI,1571600954,73,3.07,172.79,29.26,5.96
12,Bilibino,0,RU,1571600955,97,68.06,166.44,-19.12,0.97
13,Iqaluit,75,CA,1571600955,82,63.75,-68.52,0.0,6.7
14,Kodinsk,87,RU,1571600956,76,58.6,99.18,-6.85,1.39
15,Eberndorf,40,AT,1571600956,76,46.59,14.64,18.33,1.0
16,Severo-Kurilsk,3,RU,1571600956,65,50.68,156.12,4.95,2.41
17,Khatanga,100,RU,1571600957,94,71.98,102.47,-10.3,6.67
18,Ancud,90,CL,1571600957,100,-41.87,-73.83,9.0,10.8
19,Torbay,90,CA,1571600957,81,47.66,-52.73,8.89,7.7
20,Challapata,10,BO,1571600958,34,-18.9,-66.78,14.01,1.78
21,New Norfolk,20,AU,1571600958,62,-42.78,147.06,11.67,5.7
22,Itarema,93,BR,1571600958,79,-2.92,-39.92,25.47,4.63
23,Atuona,66,PF,1571600959,71,-9.8,-139.03,26.48,6.43
24,Tabas,84,IR,1571600959,16,33.6,56.92,23.0,1.98
25,Saldanha,100,PT,1571600959,81,41.42,-6.55,9.91,2.03
26,Ushuaia,75,AR,1571600960,61,-54.81,-68.31,8.0,10.3
27,Mahina,95,ML,1571600960,31,13.76,-10.85,33.2,0.93
28,Kaitangata,66,NZ,1571600960,71,-46.28,169.85,9.44,1.79
29,Khorramabad,90,IR,1571600961,82,33.48,48.35,15.0,2.1
30,Kommunisticheskiy,100,RU,1571600961,84,61.68,64.48,-0.48,4.76
31,Dikson,100,RU,1571600962,82,73.51,80.55,-3.39,6.86
32,Hilo,75,US,1571600962,65,19.71,-155.08,28.0,2.6
33,Yumen,0,CN,1571600962,22,40.29,97.04,6.41,3.82
34,Hailar,0,CN,1571600963,60,49.2,119.7,-1.97,5.1
35,Abu Dhabi,0,AE,1571600963,62,24.47,54.37,30.0,2.6
36,Hermanus,85,ZA,1571600963,95,-34.42,19.24,13.89,2.24
37,Yulara,96,AU,1571600964,16,-25.24,130.99,21.0,3.1
38,Hobart,20,AU,1571600964,62,-42.88,147.33,11.67,5.7
39,La Rioja,0,AR,1571600964,42,-29.41,-66.86,18.45,2.44
40,Licheng,36,CN,1571600965,77,24.5,110.4,20.43,1.39
41,Kidal,22,ML,1571600965,23,18.44,1.41,32.02,1.93
42,Jamestown,1,AU,1571600966,72,-33.21,138.6,10.16,3.31
43,Ylivieska,100,FI,1571600966,93,64.07,24.53,1.67,4.02
44,Port Augusta,18,AU,1571600966,87,-32.49,137.76,10.56,2.6
45,Puerto Ayora,20,EC,1571600967,54,-0.74,-90.35,27.0,9.3
46,Coahuayana,96,MX,1571600968,70,18.62,-100.35,28.69,1.6
47,Yellowknife,20,CA,1571600968,68,62.45,-114.38,-1.0,4.1
48,Seydi,2,NE,1571600968,45,13.34,7.75,29.77,2.04
49,Ornskoldsvik,90,SE,1571600969,93,63.29,18.72,1.0,2.6
50,Cherskiy,0,RU,1571600969,94,68.75,161.3,-15.47,0.77
51,Albert Town,20,JM,1571600969,74,18.29,-77.54,30.0,7.2
52,Cap Malheureux,75,MU,1571600970,83,-19.98,57.61,23.0,5.7
53,Tasiilaq,0,GL,1571600970,80,65.61,-37.64,1.0,4.1
54,Lebu,0,ET,1571600971,79,8.96,38.73,10.34,1.59
55,Cape Town,75,ZA,1571600971,87,-33.93,18.42,17.22,4.1
56,Pringsewu,24,ID,1571600971,94,-5.36,104.98,21.0,0.94
57,Jeremie,71,HT,1571600972,73,18.65,-74.12,27.29,0.24
58,Novoagansk,100,RU,1571600972,53,61.94,76.66,-3.11,7.84
59,Pong,14,CM,1571600972,99,4.23,10.63,20.84,0.47
60,Lompoc,1,US,1571600973,30,34.64,-120.46,30.0,2.1
61,Mutsu,40,JP,1571600973,93,41.29,141.2,10.0,1.5
62,Waipawa,2,NZ,1571600973,65,-39.94,176.59,11.11,0.45
63,Nikolskoye,90,RU,1571600974,93,59.7,30.79,8.89,2.0
64,Shchors,19,UA,1571600974,71,51.82,31.95,11.36,3.43
65,Hervey Bay,16,AU,1571600974,88,-25.3,152.85,18.89,3.6
66,Constitucion,90,MX,1571600975,45,23.99,-104.67,22.22,1.5
67,Mount Isa,0,AU,1571600975,13,-20.73,139.49,21.0,3.1
68,Zhangjiakou,0,CN,1571600975,38,40.77,114.88,1.17,1.55
69,Hamilton,20,CA,1571600976,52,43.26,-79.87,20.0,3.1
70,Longyearbyen,75,NO,1571600976,66,78.22,15.63,-10.0,2.6
71,Richards Bay,98,ZA,1571600976,84,-28.77,32.06,22.36,10.59
72,Praia,20,BR,1571600977,42,-20.25,-43.81,31.0,3.1
73,Port Alfred,5,ZA,1571600977,86,-33.59,26.89,18.33,0.89
74,Pisco,0,PE,1571600978,30,-13.71,-76.2,22.0,9.8
75,Ponta do Sol,53,BR,1571600978,68,-20.63,-46.0,24.59,1.51
76,Bethel,90,US,1571600978,98,60.79,-161.76,0.0,2.6
77,Havoysund,0,NO,1571600979,63,71.0,24.66,0.0,8.7
78,Sorland,75,NO,1571600979,93,67.67,12.69,5.0,2.6
79,At-Bashi,43,KG,1571600979,47,41.17,75.81,0.59,1.38
80,Kabompo,0,ZM,1571600980,22,-13.6,24.21,20.24,1.02
81,Redlands,1,US,1571600980,19,34.06,-117.19,29.0,2.1
82,Grindavik,90,IS,1571600980,100,63.84,-22.43,9.0,13.9
83,Kapaa,75,US,1571600981,94,22.08,-159.32,28.0,1.5
84,Mar del Plata,73,AR,1571600981,21,-46.43,-67.52,19.31,12.09
85,Arraial do Cabo,75,BR,1571600981,69,-22.97,-42.02,23.0,7.2
86,Tiksi,0,RU,1571600982,93,71.64,128.87,-16.31,2.22
87,Kahului,20,US,1571600982,62,20.89,-156.47,29.0,2.6
88,Washougal,90,US,1571600983,87,45.58,-122.35,11.67,3.6
89,Coquimbo,0,CL,1571600983,45,-29.95,-71.34,18.0,7.2
90,Bredasdorp,100,ZA,1571600983,72,-34.53,20.04,15.0,7.2
91,Ixtapa,90,MX,1571600984,83,20.71,-105.21,27.22,2.1
92,Upernavik,92,GL,1571600984,83,72.79,-56.15,-6.66,2.78
93,Chuy,100,UY,1571600984,77,-33.69,-53.46,14.69,4.84
94,Leningradskiy,100,RU,1571600985,94,69.38,178.42,-4.31,10.98
95,Hithadhoo,100,MV,1571600985,78,-0.6,73.08,26.91,5.38
96,Souillac,90,FR,1571600985,100,45.6,-0.6,11.11,3.6
97,Avarua,18,CK,1571600986,83,-21.21,-159.78,25.0,4.6
98,Albany,90,US,1571600986,66,42.65,-73.75,13.0,3.1
99,Zyryanka,100,RU,1571600986,95,65.73,150.89,-10.04,3.33
100,Tori Fatehpur,100,IN,1571600987,64,25.45,79.13,24.55,2.68
101,Nemuro,0,JP,1571600987,77,43.32,145.57,11.78,6.86
102,Tocopilla,11,CL,1571600987,84,-22.09,-70.2,15.52,9.13
103,Chifeng,0,CN,1571600988,35,42.27,118.96,1.06,2.0
104,Shimoda,75,JP,1571600988,73,34.7,138.93,21.0,5.7
105,Lorengau,72,PG,1571600988,84,-2.02,147.27,26.79,4.32
106,Tiznit,0,MA,1571600989,79,29.7,-9.73,18.96,10.31
107,Vaini,94,IN,1571600989,92,15.34,74.49,23.33,1.31
108,San Patricio,100,PY,1571600990,86,-26.98,-56.83,16.89,4.23
109,Qobustan,20,AZ,1571600990,82,40.08,49.41,17.0,6.2
110,Mizan Teferi,1,ET,1571600990,96,6.99,35.58,16.33,1.54
111,Ocos,75,GT,1571600991,55,14.51,-92.19,33.0,3.1
112,Rimbey,40,CA,1571600991,39,52.64,-114.24,7.0,6.2
113,Palora,90,EC,1571600991,88,-1.7,-77.97,20.0,1.5
114,Grand-Santi,77,GF,1571600992,68,4.27,-54.38,28.05,1.39
115,Ngunguru,0,NZ,1571600992,95,-35.62,174.5,13.89,4.02
116,Mackenzie,90,CA,1571600992,75,55.34,-123.09,5.0,3.6
117,Mataura,51,NZ,1571600992,86,-46.19,168.86,7.22,4.02
118,Padang,34,ID,1571600993,86,-0.92,100.36,25.85,5.97
119,Lasa,20,CY,1571600993,77,34.92,32.53,22.0,2.1
120,Castro,90,CL,1571600994,100,-42.48,-73.76,9.0,10.8
121,Praxedis Guerrero,1,MX,1571600994,15,31.37,-106.02,26.0,6.7
122,Mahebourg,75,MU,1571600994,83,-20.41,57.7,23.0,5.7
123,Ormara,0,PK,1571600995,45,25.21,64.64,24.68,1.02
124,Vostochnyy,100,RU,1571600995,71,55.82,37.87,14.0,3.0
125,Beyneu,0,KZ,1571600996,54,45.32,55.19,12.0,6.59
126,Port-Gentil,40,GA,1571600996,94,-0.72,8.78,25.0,4.12
127,Lumberton,40,US,1571600996,59,30.27,-94.2,33.0,4.6
128,Port Hardy,90,CA,1571600997,93,50.7,-127.42,9.0,2.6
129,Mongu,0,ZM,1571600997,14,-15.27,23.14,24.45,1.62
130,Ouango,85,CD,1571600997,97,4.31,22.55,21.2,1.28
131,Luderitz,0,NA,1571600998,79,-26.65,15.16,14.78,11.03
132,Omboue,100,GA,1571600998,85,-1.57,9.26,25.39,4.34
133,Shalakusha,97,RU,1571600998,93,62.23,40.26,4.1,1.98
134,Hearst,7,CA,1571600999,71,49.69,-83.67,12.59,1.49
135,Tigil,100,RU,1571600999,92,57.8,158.67,-2.55,5.05
136,Alice Springs,0,AU,1571600999,22,-23.7,133.88,15.0,1.0
137,Georgetown,75,GY,1571601000,70,6.8,-58.16,31.0,6.2
138,Lokoja,52,NG,1571601000,95,7.8,6.74,22.39,1.88
139,Namibe,86,AO,1571601001,83,-15.19,12.15,21.24,3.55
140,Provideniya,100,RU,1571601002,85,64.42,-173.23,0.0,4.0
141,Beringovskiy,15,RU,1571601002,84,63.05,179.32,-8.1,2.79
142,Praia da Vitoria,75,PT,1571601003,63,38.73,-27.07,19.0,4.43
143,Narsaq,0,GL,1571601003,93,60.91,-46.05,4.0,0.53
144,Dubbo,0,AU,1571601003,52,-32.25,148.6,8.0,3.6
145,Kavieng,100,PG,1571601004,86,-2.57,150.8,25.82,0.21
146,Port Hedland,22,AU,1571601005,57,-20.31,118.58,24.0,2.1
147,Dunedin,100,NZ,1571601005,73,-45.87,170.5,7.78,8.05
148,Havre-Saint-Pierre,20,CA,1571601005,67,50.23,-63.6,12.0,4.6
149,Kenora,40,CA,1571601005,58,49.76,-94.48,13.0,5.7
150,Maningrida,61,AU,1571601006,89,-12.05,134.23,19.69,2.24
151,Tuktoyaktuk,20,CA,1571601006,73,69.44,-133.03,-7.0,6.2
152,East London,58,ZA,1571601007,78,-33.02,27.91,16.2,4.39
153,Komsomolskiy,87,RU,1571601007,90,67.55,63.78,-8.29,3.92
154,Vardo,90,US,1571601007,93,39.62,-77.74,13.33,4.1
155,Touros,40,BR,1571601008,65,-5.2,-35.46,28.0,7.7
156,Tecolutla,98,MX,1571601008,87,17.31,-98.74,20.22,3.07
157,Gwadar,0,PK,1571601008,71,25.12,62.33,28.25,3.64
158,Beloha,0,MG,1571601009,58,-25.17,45.06,21.74,0.26
159,Sibu,75,MY,1571601009,94,2.29,111.83,24.0,1.5
160,Belmonte,66,PT,1571601010,77,40.36,-7.35,11.67,1.8
161,Borujerd,60,IR,1571601010,76,33.89,48.76,15.0,1.12
162,Thompson,90,CA,1571601010,93,55.74,-97.86,5.0,3.6
163,Lichinga,57,MZ,1571601010,54,-13.3,35.25,25.8,3.49
164,Celestun,0,MX,1571601011,78,20.87,-90.4,29.4,5.48
165,Kem,11,UG,1571601011,88,2.68,33.77,20.08,0.57
166,Half Moon Bay,20,US,1571601011,63,37.46,-122.43,22.78,2.6
167,Bonthe,96,SL,1571601012,86,7.53,-12.5,25.82,1.84
168,Villarrica,75,CL,1571601012,59,-39.28,-72.23,16.0,5.7
169,Kedougou,96,SN,1571601012,83,12.56,-12.19,25.72,1.97
170,Maymyo,40,MM,1571601013,83,22.03,96.47,27.0,1.0
171,Cabedelo,75,BR,1571601014,74,-6.97,-34.84,27.0,4.6
172,Araouane,0,ML,1571601014,20,18.9,-3.53,31.83,0.22
173,Road Town,20,VG,1571601015,62,18.42,-64.62,32.0,5.1
174,Ribeira Grande,40,PT,1571601015,64,38.52,-28.7,20.0,7.2
175,Clyde River,90,CA,1571601015,100,70.47,-68.59,-4.0,1.69
176,Kodiak,1,US,1571601016,45,39.95,-94.76,18.89,9.3
177,Preobrazheniye,32,RU,1571601016,96,42.9,133.91,8.48,0.94
178,Suluq,100,LY,1571601016,76,31.67,20.25,23.13,6.26
179,Deputatskiy,94,RU,1571601017,98,69.3,139.9,-14.91,1.11
180,Ayagoz,93,KZ,1571601017,83,47.96,80.43,-7.97,12.98
181,Gat,1,SN,1571601017,74,14.69,-16.54,27.0,5.7
182,Te Anau,57,NZ,1571601018,75,-45.41,167.72,4.79,3.17
183,Poum,0,MK,1571601018,87,41.28,20.71,10.0,0.5
184,Cayenne,99,GF,1571601019,62,4.94,-52.33,31.0,5.7
185,Nanortalik,0,GL,1571601019,90,60.14,-45.24,4.28,0.27
186,Rtishchevo,87,RU,1571601019,91,52.26,43.79,10.07,3.99
187,Puerto del Rosario,40,ES,1571601020,78,28.5,-13.86,22.0,8.2
188,Grand Gaube,75,MU,1571601020,83,-20.01,57.66,23.0,5.7
189,Sao Joao do Piaui,74,BR,1571601021,47,-8.36,-42.25,29.67,2.15
190,Oskarshamn,100,SE,1571601021,100,57.26,16.44,11.67,1.0
191,Khandbari,86,NP,1571601021,80,27.38,87.21,8.29,2.11
192,Qaanaaq,0,GL,1571601022,50,77.48,-69.36,-17.15,4.11
193,Katsuura,75,JP,1571601022,88,33.93,134.5,17.0,2.1
194,Wenling,0,CN,1571601022,95,28.38,121.38,16.67,1.41
195,Talaya,0,RU,1571601023,78,55.79,84.89,-9.0,2.0
196,Aklavik,75,CA,1571601023,85,68.22,-135.01,-7.0,2.6
197,Tomatlan,100,MX,1571601023,93,19.93,-105.25,23.45,3.54
198,Colares,20,PT,1571601024,76,38.8,-9.45,15.0,2.6
199,Quzhou,92,CN,1571601024,75,28.97,118.86,12.98,1.03
200,Bowen,40,AU,1571601024,94,-20.01,148.25,21.67,2.6
201,Gravdal,0,NO,1571601025,81,59.79,5.78,9.0,2.6
202,Prince Rupert,90,CA,1571601025,81,54.32,-130.32,9.0,3.1
203,Rio Gallegos,75,AR,1571601025,30,-51.62,-69.22,15.0,5.7
204,Mmabatho,11,ZA,1571601026,21,-25.85,25.61,22.88,3.77
205,Schneeberg,42,DE,1571601027,87,50.6,12.64,15.0,1.5
206,Shenjiamen,0,CN,1571601027,63,29.96,122.3,19.44,5.04
207,Fukue,75,JP,1571601027,77,35.03,136.69,18.0,3.1
208,Novikovo,84,RU,1571601028,84,51.15,37.89,11.82,2.35
209,Prado,47,CO,1571601028,58,3.75,-74.93,29.34,1.84
210,Nueva Concepcion,75,GT,1571601029,55,14.2,-91.3,33.0,3.1
211,Ouadda,100,CF,1571601029,93,8.07,22.4,20.57,1.31
212,Talnakh,75,RU,1571601029,92,69.49,88.39,-7.0,11.0
213,Tarifa,40,ES,1571601030,63,36.01,-5.6,18.0,1.5
214,Ostrovnoy,56,RU,1571601030,88,68.05,39.51,-5.61,2.56
215,Khromtau,0,KZ,1571601031,57,50.26,58.44,-2.12,5.42
216,Saint-Joseph,99,FR,1571601031,93,43.56,6.97,20.0,1.5
217,Pocinhos,0,BR,1571601031,58,-7.08,-36.06,29.0,5.7
218,Qaqortoq,0,GL,1571601032,93,60.72,-46.03,4.0,0.53
219,Viedma,100,AR,1571601032,40,-40.81,-62.99,24.1,7.82
220,Bambanglipuro,79,ID,1571601032,89,-7.95,110.28,24.83,5.23
221,Mount Gambier,90,AU,1571601033,81,-37.83,140.78,10.0,1.0
222,Lozuvatka,14,UA,1571601033,72,49.68,35.29,11.7,2.27
223,Whitecourt,20,CA,1571601033,60,54.14,-115.68,5.0,3.1
224,Port Lincoln,100,AU,1571601034,81,-34.72,135.86,13.65,5.26
225,Porto Novo,75,BR,1571601034,60,-23.68,-45.44,22.0,3.6
226,Banyo,65,CM,1571601034,95,6.75,11.81,16.96,0.44
227,Imbituba,75,BR,1571601035,56,-28.24,-48.67,21.0,5.7
228,Great Yarmouth,40,GB,1571601035,93,52.61,1.73,11.11,2.1
229,Forbes,0,AU,1571601035,66,-33.38,148.01,8.33,1.59
230,Kiunga,89,PG,1571601036,90,-6.12,141.3,22.71,1.44
231,Nautla,100,MX,1571601036,79,20.22,-96.78,29.44,6.07
232,Meulaboh,99,ID,1571601036,87,4.14,96.13,25.9,4.11
233,Pekan,75,MY,1571601037,94,3.49,103.39,25.0,0.82
234,Irece,54,BR,1571601037,35,-11.3,-41.86,28.27,2.47
235,Santa Maria,20,BR,1571601037,29,-16.02,-48.01,33.0,2.6
236,San Policarpo,37,PH,1571601038,87,12.18,125.51,24.98,1.81
237,Kantemirovka,66,RU,1571601038,77,49.7,39.85,11.92,2.03
238,Black Forest,0,AU,1571601039,87,-34.96,138.58,10.0,2.1
239,Mapiripan,44,CO,1571601039,72,2.89,-72.13,28.81,1.43
240,Canchungo,40,GW,1571601039,70,12.07,-16.03,32.0,2.1
241,Saint-Pierre,75,FR,1571601040,100,48.95,4.24,14.0,1.5
242,Vilani,100,LV,1571601040,96,56.55,26.92,12.33,2.77
243,Sao Gabriel da Cachoeira,75,BR,1571601040,100,-0.13,-67.09,24.0,2.1
244,Lagoa,20,PT,1571601041,59,37.14,-8.45,17.0,4.6
245,Salalah,0,OM,1571601041,51,17.01,54.1,28.0,2.6
246,Chaumont,100,FR,1571601041,93,48.11,5.14,14.44,2.6
247,Cap-aux-Meules,75,CA,1571601042,70,47.38,-61.86,8.0,9.3
248,Keetmanshoop,0,NA,1571601042,21,-26.57,18.15,23.39,7.33
249,Maine-Soroa,18,NE,1571601042,29,13.21,12.02,33.6,2.65
250,Sitka,100,US,1571601043,41,37.17,-99.65,16.67,6.26
251,Karonga,0,MW,1571601043,74,-9.94,33.93,17.97,1.24
252,Tiarei,40,PF,1571601044,78,-17.53,-149.33,27.0,9.3
253,Saint-Augustin,75,CA,1571601044,57,45.63,-73.98,12.78,4.1
254,Faya,0,SA,1571601044,24,18.39,42.45,20.0,3.6
255,Neijiang,100,CN,1571601045,83,29.59,105.06,19.49,0.71
256,Kungurtug,100,RU,1571601045,76,50.6,97.53,-3.84,0.28
257,Senanga,0,ZM,1571601045,14,-16.1,23.3,23.06,1.1
258,Zacamulpa,75,MX,1571601046,44,20.01,-99.26,24.0,5.1
259,Kirovskiy,85,RU,1571601046,87,45.09,133.51,9.26,2.74
260,Avera,75,US,1571601046,73,33.19,-82.53,25.0,3.1
261,Abbotsford,90,CA,1571601047,93,49.05,-122.33,10.56,3.6
262,Esperance,0,AU,1571601047,93,-33.86,121.89,14.0,3.6
263,Lata,65,IN,1571601048,76,30.78,78.62,-4.37,0.36
264,Ust-Omchug,62,RU,1571601049,91,61.13,149.63,-13.97,0.19
265,Lazaro Cardenas,5,MX,1571601049,34,28.39,-105.62,32.22,3.1
266,Moose Factory,90,CA,1571601049,100,51.26,-80.61,8.0,3.1
